sls_ord_num,prd_key,CID,sls_sales,sls_quantity,sls_price,GEN,cst_firstname,cst_lastname,cst_marital_status,CNTRY,prd_id,prd_nm,prd_cost,prd_line,ID,CAT,SUBCAT,MAINTENANCE,order_date,ship_date,due_date,birth_date,customer_creation_date,product_start_date,product_end_date,is_active_product,customer_age,order_to_ship_days,order_date_month,ship_date_month,due_date_month,birth_date_month,customer_creation_date_month,product_start_date_month,product_end_date_month
SO43698,BK-M82S-44,28389,3400.0,1,3400.0,FEMALE,Rachael,Martinez,Single,FRANCE,346,Mountain-100 Silver- 44,1912.0,M ,BI_MB,Bikes,Mountain Bikes,Yes,2010-12-29,2011-01-05,2011-01-10,1970-06-17,2026-01-25,2011-07-01,2007-12-28,False,54,7,December,January,January,June,January,July,December
SO43699,BK-M82S-44,25863,3400.0,1,3400.0,FEMALE,Sydney,Wright,Single,UNITED STATES,346,Mountain-100 Silver- 44,1912.0,M ,BI_MB,Bikes,Mountain Bikes,Yes,2010-12-29,2011-01-05,2011-01-10,1952-06-01,2026-01-14,2011-07-01,2007-12-28,False,73,7,December,January,January,June,January,July,December
SO43700,BK-R50B-62,14501,699.0,1,699.0,MALE,Ruben,Prasad,Married,USA,336,Road-650 Black- 62,413.0,R ,BI_RB,Bikes,Road Bikes,Yes,2010-12-29,2011-01-05,2011-01-10,1943-11-10,2025-10-12,2011-07-01,2007-12-28,False,81,7,December,January,January,November,October,July,December
SO43701,BK-M82S-44,11003,3400.0,1,3400.0,FEMALE,Christy,  Zhu,Single,AUSTRALIA,346,Mountain-100 Silver- 44,1912.0,M ,BI_MB,Bikes,Mountain Bikes,Yes,2010-12-29,2011-01-05,2011-01-10,1973-08-14,2025-10-06,2011-07-01,2007-12-28,False,51,7,December,January,January,August,October,July,December
SO43702,BK-R93R-44,27645,3578.0,1,3578.0,MALE,Colin,Anand,Married,UNITED STATES,311,Road-150 Red- 44,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2010-12-30,2011-01-06,2011-01-11,1972-08-14,2026-01-25,2011-07-01,2007-12-28,False,52,7,December,January,January,August,January,July,December
SO43703,BK-R93R-62,16624,3578.0,1,3578.0,MALE,Albert,Alvarez,Single,AUSTRALIA,310,Road-150 Red- 62,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2010-12-30,2011-01-06,2011-01-11,1983-07-24,2026-01-04,2011-07-01,2007-12-28,False,41,7,December,January,January,July,January,July,December
SO43704,BK-M82B-48,11005,3375.0,1,3375.0,MALE,Julio,Ruiz,Single,AUSTRALIA,351,Mountain-100 Black- 48,1898.0,M ,BI_MB,Bikes,Mountain Bikes,Yes,2010-12-30,2011-01-06,2011-01-11,1976-08-01,2025-10-06,2011-07-01,2007-12-28,False,48,7,December,January,January,August,October,July,December
SO43705,BK-M82S-38,11011,3400.0,1,3400.0,MALE,Curtis,Lu,Married,AUSTRALIA,344,Mountain-100 Silver- 38,1912.0,M ,BI_MB,Bikes,Mountain Bikes,Yes,2010-12-30,2011-01-06,2011-01-11,1969-05-03,2025-10-06,2011-07-01,2007-12-28,False,56,7,December,January,January,May,October,July,December
SO43706,BK-R93R-48,27621,3578.0,1,3578.0,MALE,Edward,Brown,Single,UNITED STATES,312,Road-150 Red- 48,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2010-12-31,2011-01-07,2011-01-12,1975-01-23,2026-01-25,2011-07-01,2007-12-28,False,50,7,December,January,January,January,January,July,December
SO43707,BK-R93R-48,27616,3578.0,1,3578.0,FEMALE,Emma,Brown,Single,UNITED STATES,312,Road-150 Red- 48,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2010-12-31,2011-01-07,2011-01-12,1971-06-10,2026-01-21,2011-07-01,2007-12-28,False,54,7,December,January,January,June,January,July,December
